Deck,Card Name,Quantity
Snorlax,Basic Fighting Energy,14.0
Snorlax,Double Turbo Energy,4.0
Snorlax,Bouffalant,2.0
Snorlax,Fan Rotom,2.0
Snorlax,Lake Acuity,2.0
Snorlax,Nest Ball,2.0
Snorlax,Bianca's Devotion,1.0
Snorlax,Bill's Transfer,1.0
Snorlax,Bloodmoon Ursaluna ex,1.0
Snorlax,Boss's Orders,1.0
Snorlax,Bravery Charm,1.0
Snorlax,Chewtle,1.0
Snorlax,Colress's Tenacity,1.0
Snorlax,Cornerstone Mask Ogerpon ex,1.0
Snorlax,Counter Gain,1.0
Snorlax,Drednaw,1.0
Snorlax,Energy Retrieval,1.0
Snorlax,Hero's Cape - ACESPEC,1.0
Snorlax,Jet Energy,1.0
Snorlax,Kangaskhan,1.0
Snorlax,Kangaskhan ex,1.0
Snorlax,Kecleon,1.0
Snorlax,Komala,1.0
Snorlax,Larry,1.0
Snorlax,Letter of Encouragement,1.0
Snorlax,Lisia's Appeal,1.0
Snorlax,Night Stretcher,1.0
Snorlax,Penny,1.0
Snorlax,Professor Turo's Scenario,1.0
Snorlax,Snorlax,1.0
Snorlax,Snorlax Doll,1.0
Snorlax,Squawkabilly,1.0
Snorlax,Squawkabilly ex,1.0
Snorlax,Super Rod,1.0
Snorlax,Superior Energy Retrieval,1.0
Snorlax,Switch,1.0
Snorlax,Tauros,1.0
Terapazard,Basic Fire Energy,4.5
Terapazard,Arven,4.0
Terapazard,Basic Psychic Energy,4.0
Terapazard,Crispin,4.0
Terapazard,Drakloak,4.0
Terapazard,Dreepy,4.0
Terapazard,Hoothoot,4.0
Terapazard,Iron Thorns ex,4.0
Terapazard,Noctowl,4.0
Terapazard,Basic Lightning Energy,3.0
Terapazard,Pokegear 3.0,3.0
Terapazard,Buddy-Buddy Poffin,2.5
Terapazard,Nest Ball,2.5
Terapazard,Ultra Ball,2.5
Terapazard,Area Zero Underdepths,2.0
Terapazard,Charizard ex,2.0
Terapazard,Dragapult ex,2.0
Terapazard,Fan Rotom,2.0
Terapazard,Iono,2.0
Terapazard,Rare Candy,2.0
Terapazard,Technical Machine: Evolution,2.0
Terapazard,Tera Orb,2.0
Terapazard,Terapagos ex,2.0
Terapazard,Boss's Orders,1.5
Terapazard,Night Stretcher,1.5
Terapazard,Briar,1.0
Terapazard,Charmander,1.0
Terapazard,Counter Catcher,1.0
Terapazard,Dusknoir,1.0
Terapazard,Duskull,1.0
Terapazard,Earthen Vessel,1.0
Terapazard,Entei V,1.0
Terapazard,Fezandipiti ex,1.0
Terapazard,Forest Seal Stone,1.0
Terapazard,Future Booster Energy Capsule,1.0
Terapazard,Kieran,1.0
Terapazard,Lost Vacuum,1.0
Terapazard,Manaphy,1.0
Terapazard,Mela,1.0
Terapazard,Pal Pad,1.0
Terapazard,Precious Trolley - ACESPEC,1.0
Terapazard,Prime Catcher - ACESPEC,1.0
Terapazard,Professor Turo's Scenario,1.0
Terapazard,Professor's Research,1.0
Terapazard,Radiant Alakazam,1.0
Terapazard,Rescue Board,1.0
Terapazard,Super Rod,1.0
Terapazard,Switch,1.0
Terapazard,Thorton,1.0
Terapazard,Toedscool,1.0
Terapazard,Toedscruel,1.0
Tinkaton,Arven,4.0
Tinkaton,Buddy-Buddy Poffin,4.0
Tinkaton,Double Turbo Energy,4.0
Tinkaton,Dudunsparce,4.0
Tinkaton,Dunsparce,4.0
Tinkaton,Nemona,4.0
Tinkaton,Nest Ball,4.0
Tinkaton,Rare Candy,4.0
Tinkaton,Tinkatink,4.0
Tinkaton,Basic Psychic Energy,2.0
Tinkaton,Boss's Orders,2.0
Tinkaton,Jacq,2.0
Tinkaton,Reversal Energy,2.0
Tinkaton,Ultra Ball,2.0
Tinkaton,Artazon,1.0
Tinkaton,Counter Catcher,1.0
Tinkaton,Energy Search,1.0
Tinkaton,Forest Seal Stone,1.0
Tinkaton,Hyper Aroma - ACESPEC,1.0
Tinkaton,Lucky Helmet,1.0
Tinkaton,Lumineon V,1.0
Tinkaton,Miriam,1.0
Tinkaton,Nemona's Backpack,1.0
Tinkaton,Technical Machine: Evolution,1.0
Tinkaton,Tinkaton,1.0
Tinkaton,Tinkaton ex,1.0
Tinkaton,Tinkatuff,1.0
United Wings,Basic Dark Energy,5.0
United Wings,Dartrix,4.0
United Wings,Flamigo,4.0
United Wings,Murkrow,4.0
United Wings,Professor's Research,4.0
United Wings,Ultra Ball,4.0
United Wings,Wattrel,4.0
United Wings,Double Turbo Energy,3.0
United Wings,Arven,2.0
United Wings,Boss's Orders,2.0
United Wings,Collapsed Stadium,2.0
United Wings,Ditto,2.0
United Wings,Nest Ball,2.0
United Wings,Night Stretcher,2.0
United Wings,Rescue Board,2.0
United Wings,Rowlet,2.0
United Wings,Brilliant Blender - ACESPEC,1.0
United Wings,Buddy-Buddy Poffin,1.0
United Wings,Earthen Vessel,1.0
United Wings,Great Ball,1.0
United Wings,Hisuian Heavy Ball,1.0
United Wings,Kyurem,1.0
United Wings,Manaphy,1.0
United Wings,Pal Pad,1.0
United Wings,Serena,1.0
United Wings,Squawkabilly ex,1.0
United Wings,Super Rod,1.0
United Wings,Tatsugiri,1.0
